,submission,submit_time,hour_12,year,month,day,second,submission_type,zip_type
99,https://ckd.upgrad.com/UpGrad/25a8fbfa-a768-4359-8598-f804c0d1864a/DDA1610239.zip,04-01-2017 00:19,12:19:41 AM,2017,1,4,41,DDA1610239.zip,Y
100,https://ckd.upgrad.com/UpGrad/7d390261-825a-4dac-9b6b-6fa782dad5c6/DDA1610086.zip,03-01-2017 22:44,10:44:20 PM,2017,1,3,20,DDA1610086.zip,Y
101,https://ckd.upgrad.com/UpGrad/4ca04551-bc59-4c7b-bd45-9f23451bf2b5/DDA1610232.zip,01-01-2017 21:58,09:58:18 PM,2017,1,1,18,DDA1610232.zip,Y
102,https://ckd.upgrad.com/UpGrad/d1f742cb-adbc-48ba-b9a7-65761cc9b1dc/DDA1610133.zip,30-12-2016 00:21,12:21:55 AM,2016,12,30,55,DDA1610133.zip,Y
103,https://ckd.upgrad.com/UpGrad/763f90f9-ddaa-4229-9aa6-66535a8dabc6/DDA1610242.zip,03-01-2017 20:10,08:10:26 PM,2017,1,3,26,DDA1610242.zip,Y
104,https://ckd.upgrad.com/UpGrad/05d82794-8b43-45bd-a55a-0a17b8b97967/DDA1610213.zip,08-01-2017 20:03,08:03:27 PM,2017,1,8,27,DDA1610213.zip,Y
105,https://ckd.upgrad.com/UpGrad/adba7f99-4a9d-4aba-a80f-bc35259c952c/DDA1610295.zip,03-01-2017 23:32,11:32:35 PM,2017,1,3,35,DDA1610295.zip,Y
106,https://ckd.upgrad.com/UpGrad/c0c74ba8-aa40-4341-8955-60291cfaa0c6/DDA1610164.zip,03-01-2017 23:29,11:29:03 PM,2017,1,3,3,DDA1610164.zip,Y
107,https://ckd.upgrad.com/UpGrad/dc2cf2d3-37bb-4095-b84a-6ddaa13bb2b3/DDA1610244.zip,03-01-2017 23:37,11:37:04 PM,2017,1,3,4,DDA1610244.zip,Y
108,https://ckd.upgrad.com/UpGrad/c824f343-b7bb-4494-8873-f9ab18a692a2/DDA1610005.zip,03-01-2017 21:58,09:58:52 PM,2017,1,3,52,DDA1610005.zip,Y
109,https://ckd.upgrad.com/UpGrad/b7a15111-4b45-43a9-a3a7-d2f77b18a8a8/DDA1610153.zip,03-01-2017 22:55,10:55:31 PM,2017,1,3,31,DDA1610153.zip,Y
110,https://ckd.upgrad.com/UpGrad/fac83ab8-b4c0-4476-af06-2f180f6f5a72/DDA1680935.zip,03-01-2017 12:45,12:45:54 PM,2017,1,3,54,DDA1680935.zip,Y
111,https://ckd.upgrad.com/UpGrad/df0cac65-fc97-4a5c-83a7-a424b16095ad/DDA1610268.zip,04-01-2017 00:18,12:18:49 AM,2017,1,4,49,DDA1610268.zip,Y
112,https://ckd.upgrad.com/UpGrad/a3a2a7b0-ca51-49a5-89c7-cab16ffa13a1/DDA1610113.zip,03-01-2017 22:16,10:16:56 PM,2017,1,3,56,DDA1610113.zip,Y
113,https://ckd.upgrad.com/UpGrad/d194a07b-c1c7-4f5b-8c4c-dad65cfaccf8/DDA1610122.zip,03-01-2017 23:57,11:57:51 PM,2017,1,3,51,DDA1610122.zip,Y
114,https://ckd.upgrad.com/UpGrad/6f02a066-4a3a-4f0d-8c3c-83f93668cbcf/DDA1610198.zip,03-01-2017 23:58,11:58:10 PM,2017,1,3,10,DDA1610198.zip,Y
115,https://ckd.upgrad.com/UpGrad/b93ca2f7-c3f7-4fca-8faf-1a17a283b59a/DDA1610091.zip,03-01-2017 21:35,09:35:00 PM,2017,1,3,0,DDA1610091.zip,Y
116,https://ckd.upgrad.com/UpGrad/9aa2b777-b54f-4749-b20f-45c3d3407c9a/DDA1610085.zip,03-01-2017 23:58,11:58:35 PM,2017,1,3,35,DDA1610085.zip,Y
117,https://ckd.upgrad.com/UpGrad/ca7ca2ad-1492-4658-8a01-f3fdcb5ac6a4/DDA1610117.zip,03-01-2017 21:05,09:05:10 PM,2017,1,3,10,DDA1610117.zip,Y
118,https://ckd.upgrad.com/UpGrad/5dd7fcb0-421b-48ca-8578-8890cc7a6a18/DDA1610282.zip,09-01-2017 23:08,11:08:57 PM,2017,1,9,57,DDA1610282.zip,Y
119,https://ckd.upgrad.com/UpGrad/9f5daa3f-7af5-4bb6-b005-34cb03188990/DDA1610301.zip,28-12-2016 13:30,01:30:50 PM,2016,12,28,50,DDA1610301.zip,Y
120,https://ckd.upgrad.com/UpGrad/6170aa11-5a1b-4abc-8ab1-858aca0bc757/DDA1610275.zip,03-01-2017 21:55,09:55:53 PM,2017,1,3,53,DDA1610275.zip,Y
121,https://ckd.upgrad.com/UpGrad/a5d6ac30-19a0-4741-a52d-467773a4d170/DDA1610197.zip,09-01-2017 22:43,10:43:43 PM,2017,1,9,43,DDA1610197.zip,Y
122,https://ckd.upgrad.com/UpGrad/79a8d86a-08d9-4c91-b165-a0054da0ca38/DDA1610134.zip,03-01-2017 23:25,11:25:24 PM,2017,1,3,24,DDA1610134.zip,Y
123,https://ckd.upgrad.com/UpGrad/22013159-6c97-4c97-93da-97c17f5c671d/DDA1610006.R,19-11-2016 15:08,03:08:52 PM,2016,11,19,52,DDA1610006.R,N
124,https://ckd.upgrad.com/UpGrad/adf01945-1057-49ba-8857-365019a4c90a/DDA1610003.zip,29-12-2016 03:13,03:13:50 AM,2016,12,29,50,DDA1610003.zip,Y
125,https://ckd.upgrad.com/UpGrad/bffa4817-a43d-474f-9686-3d2a9f0a61a4/DDA1610094.7z,03-01-2017 22:24,10:24:46 PM,2017,1,3,46,DDA1610094.7z,N
126,https://ckd.upgrad.com/UpGrad/50c257d1-4478-4f1a-89a1-95925d5a1fa2/DDA1610101.zip,04-01-2017 00:00,12:00:26 AM,2017,1,4,26,DDA1610101.zip,Y
127,https://ckd.upgrad.com/UpGrad/d8bd86af-228d-46b9-844b-6512aa2068cd/DDA1610285.zip,03-01-2017 23:46,11:46:39 PM,2017,1,3,39,DDA1610285.zip,Y
128,https://ckd.upgrad.com/UpGrad/6cb7a0ad-3bfa-4b07-9040-d75982cda7fa/DDA1610163.zip,03-01-2017 01:04,01:04:10 AM,2017,1,3,10,DDA1610163.zip,Y
129,https://ckd.upgrad.com/UpGrad/080b96b7-485a-4a3d-9dd4-b2aca2b52f41/DDA160021.zip,03-01-2017 22:15,10:15:30 PM,2017,1,3,30,DDA160021.zip,Y
130,https://ckd.upgrad.com/UpGrad/41a44412-2f48-4498-ba15-ab288ffa146c/DDA1610144.zip,09-01-2017 23:30,11:30:12 PM,2017,1,9,12,DDA1610144.zip,Y
131,https://ckd.upgrad.com/UpGrad/21bcabf3-0d26-490a-9051-24da604bb391/DDA1610040.zip,08-01-2017 23:47,11:47:27 PM,2017,1,8,27,DDA1610040.zip,Y
132,https://ckd.upgrad.com/UpGrad/d855f338-09c8-48cd-ad57-0d5579009a97/DDA1610204.zip,03-01-2017 23:56,11:56:10 PM,2017,1,3,10,DDA1610204.zip,Y
133,https://ckd.upgrad.com/UpGrad/a33adab9-35b8-4415-a84a-70baadc5c03d/DDA1610062.zip,10-01-2017 01:05,01:05:45 AM,2017,1,10,45,DDA1610062.zip,Y
134,https://ckd.upgrad.com/UpGrad/22d61bd2-597a-43fa-ba76-27a0b88a5a94/DDA1610284.zip,07-01-2017 22:55,10:55:43 PM,2017,1,7,43,DDA1610284.zip,Y
135,https://ckd.upgrad.com/UpGrad/6c1a884d-90f2-4299-8baa-a20b28a775ca/DDA1610161.zip,03-01-2017 23:28,11:28:14 PM,2017,1,3,14,DDA1610161.zip,Y
